Month,data engineer
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,7
2004-10,8
2004-11,0
2004-12,0
2005-01,10
2005-02,0
2005-03,0
2005-04,6
2005-05,7
2005-06,7
2005-07,6
2005-08,5
2005-09,0
2005-10,6
2005-11,0
2005-12,0
2006-01,5
2006-02,6
2006-03,5
2006-04,5
2006-05,4
2006-06,5
2006-07,0
2006-08,4
2006-09,8
2006-10,4
2006-11,5
2006-12,4
2007-01,6
2007-02,3
2007-03,5
2007-04,4
2007-05,4
2007-06,5
2007-07,4
2007-08,5
2007-09,6
2007-10,4
2007-11,5
2007-12,4
2008-01,5
2008-02,4
2008-03,4
2008-04,4
2008-05,5
2008-06,5
2008-07,4
2008-08,4
2008-09,4
2008-10,5
2008-11,4
2008-12,4
2009-01,4
2009-02,5
2009-03,5
2009-04,4
2009-05,4
2009-06,4
2009-07,5
2009-08,5
2009-09,7
2009-10,5
2009-11,5
2009-12,5
2010-01,3
2010-02,6
2010-03,5
2010-04,5
2010-05,5
2010-06,4
2010-07,6
2010-08,4
2010-09,5
2010-10,5
2010-11,6
2010-12,4
2011-01,4
2011-02,7
2011-03,6
2011-04,6
2011-05,5
2011-06,6
2011-07,6
2011-08,6
2011-09,6
2011-10,5
2011-11,5
2011-12,4
2012-01,6
2012-02,6
2012-03,7
2012-04,7
2012-05,7
2012-06,6
2012-07,7
2012-08,7
2012-09,7
2012-10,7
2012-11,6
2012-12,4
2013-01,7
2013-02,6
2013-03,6
2013-04,7
2013-05,7
2013-06,6
2013-07,7
2013-08,7
2013-09,7
2013-10,9
2013-11,7
2013-12,6
2014-01,7
2014-02,9
2014-03,8
2014-04,9
2014-05,10
2014-06,10
2014-07,8
2014-08,9
2014-09,10
2014-10,11
2014-11,10
2014-12,8
2015-01,10
2015-02,11
2015-03,11
2015-04,12
2015-05,13
2015-06,13
2015-07,14
2015-08,14
2015-09,14
2015-10,15
2015-11,13
2015-12,13
2016-01,12
2016-02,14
2016-03,15
2016-04,15
2016-05,14
2016-06,14
2016-07,12
2016-08,14
2016-09,15
2016-10,17
2016-11,15
2016-12,14
2017-01,20
2017-02,21
2017-03,21
2017-04,22
2017-05,22
2017-06,21
2017-07,23
2017-08,24
2017-09,25
2017-10,28
2017-11,25
2017-12,21
2018-01,25
2018-02,27
2018-03,29
2018-04,29
2018-05,29
2018-06,30
2018-07,32
2018-08,33
2018-09,33
2018-10,36
2018-11,30
2018-12,29
2019-01,36
2019-02,40
2019-03,37
2019-04,39
2019-05,40
2019-06,40
2019-07,39
2019-08,41
2019-09,45
2019-10,44
2019-11,37
2019-12,35
2020-01,42
2020-02,47
2020-03,35
2020-04,36
2020-05,40
2020-06,43
2020-07,44
2020-08,46
2020-09,45
2020-10,45
2020-11,35
2020-12,37
2021-01,42
2021-02,48
2021-03,45
2021-04,47
2021-05,49
2021-06,50
2021-07,50
2021-08,54
2021-09,61
2021-10,54
2021-11,53
2021-12,51
2022-01,70
2022-02,83
2022-03,84
2022-04,81
2022-05,84
2022-06,72
2022-07,70
2022-08,77
2022-09,80
2022-10,77
2022-11,69
2022-12,58
2023-01,73
2023-02,76
2023-03,70
2023-04,70
2023-05,70
2023-06,72
2023-07,72
2023-08,81
2023-09,83
2023-10,81
2023-11,74
2023-12,62
2024-01,91
2024-02,100
2024-03,93
2024-04,95
2024-05,87
2024-06,85
2024-07,85
2024-08,97
2024-09,82
2024-10,100
2024-11,82
2024-12,90
